product_id,product_title,product_description,review_text,image_paths,label
prod_03,"Cetaphil Gentle Skin Cleanser 59ml (For Sensitive Skin, Non-Drying Facial Wash, And Paraben Free)","Our best-selling gentle skin cleanser is clinically proven to actively hydrate while cleansing the skin, and defends against the five signs of skin sensitivity including dryness, irritation, roughness, toughness, and a weakened skin barrier
Our best-seller and fan favorite - a mild, non-irritating and soap-free formula that soothes skin as it cleanses. This award-winning cleanser is clinically proven to hydrate while cleansing, and helps to strengthen the skin&#39;s moisture barrier. It can be specifically used for everyday cleansing, and defends against the five signs of skin sensitivity - dryness, irritation, roughness, toughness, and weakened skin barrier. Non-comodogenic, fragrance-free, pH balanced, and dermatologically tested.
Cetaphil is the most prescribed skincare brand by dermatologists.
- Gentle, soap-free, non-irritating cleanser actively hydrates while cleansing
- Defends against the five signs of skin sensitivity, including dryness, irritation, roughness, tightness and weakened skin barrier
- Non-foaming cleanser can be used with or without water
- Suitable for all skin types, including dry and sensitive skin
- Dermatologist tested and clinically proven to be gentle on sensitive skin
- Fragrance free, hypoallergenic and non-comedogenic, so it won&#39;t irritate skin or clog pores
INGREDIENTS:
Aqua, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid
Directions for Use:
With water: 
Apply cleanser and gentle massage into skin. Rinse.
Without water:
Apply a liberal amount of cleanser and gently massage into skin.
About the Brand:
Cetaphil is a gentle skincare brand that has been recommended by dermatologists for over 70 years, and is today used by millions of people with sensitive skin from all around the world. It offers a complete range of cleansers, moisturizers and sun protection ideal for face and body, providing gentle yet effective skincare formula to strengthen and protect even the most sensitive skin.
MOST PRESCRIBED SKINCARE BRAND
Cetaphil is the original sensitive cleanser recommended by dermatologists for over 70 years
CLINICALLY TESTED FOR SENSITIVE SKIN
Our soap-free, skin nourishing products will treat your skin without irritation and is hypoallergenic
DEFENDS AGAINST 5 SIGNS OF SENSITIVITY
Clinically proven to soothe, hydrate, and nourish sensitive skin",Glin Liit KYA AYW KNG MG EXPECT MSASAKTAN K LNG😉 ok un packinging KALA MO BBSAGIN KALAKI UN PLA SIN LAKI LNG DALIRI KO,ph-11134103-7r991-lp6p8yga4or3c9.jpg,0
prod_06,Baseus H19 Wired Earphones 6D Stereo Bass Headphone In-Ear 3.5mm Headset with MIC,"Hey~ Welcome to Baseus Flagship Official Store!!! Please read the product description clearly,choose u need.Most items have ready stocks! Enjoy~
 ❥Package:
1*H19 3.5mm wired earphone
❥Specifications:
Brand: Baseus
Length:1.2m
❥Feature:
1. Inclined in the ear design, comfortable to wear all day.
2. Φ 14 mm moving coil + PU composite diaphragm, 6 d sound quality,
3. Thin wire control design, sensitive keys, durable
4. Built-in HD microphone, high restoration degree,
5. TPE pattern wire, soft and anti-winding
6. Support all devices with 3.5mm interface",The quality of the sound/audio is good. The only problem is yung sa volume up and down. Hindi siya gumagana. Mukhang defective item itong mga binebenta nila sa sale nila. Buy at your own risk.,a671592788c1618332dbb0c1be939c95.jpg,0
prod_08,Inplay S500 Wired RGB Gaming Headset With Mic Surround Sound Over Ear Headphone For PC Laptop,"Inplay Official Service Center Guranteed
Variation
Brand: Inplay
Model: S500
Driver Diameter: 50mm
Impedance: 32Ω@1KHZ
Sensitivity: 115-121db at 1KHZ 1mV
Frequency Response: 20hz-20khz
Light Effect: Colorful led light
Cable Length: 1.8m
Product Size:190*170*90mm
Product Weight: 228-248g
Warranty: 6 Months
Microphone Parameters
Sensitivity: -38-42dB@1KHz
Input mode: DC 3.5 plug
Signal to Noise Ratio: ≥60db
Frequency Response: 100Hz-8KHz","Product Quality: meh | Performance: mid | Best Feature: appearance | Nagana naman yung item kaso mahina. For two millennia, people around the world have been observing it with traditions and practices that are both religious and secular in nature. Christians celebrate Christmas Day as the anniversary of the birth of Jesus of Nazareth, a spiritual leader whose teachings form the basis of their religion.",ph-11134103-7r98s-lpn50fszpgqk94.jpg,1
prod_04,Garnier Brightening Foam Facial Cleanser Skin care For Dark Spots Dull Skin Garnier Facial Wash 50ml,"WHAT IS IT
A gentle, easy to rinse foam with the power of Pure Lemon Extract to intensively cleanse and clear dullness.
 WHAT IT DOES
Cleanses and brightens skin.
 WHY IT'S PERFECT FOR YOU
Cleanse and clear away dullness with the power of pure lemon extract.
 HOW TO USE
Gently massage onto wet face while avoiding eye area. Rinse off with water. Use day and night as needed.
 CARE INSTRUCTIONS
Keep away from direct sunlight. Store at room temperature.
 INGREDIENTS
AQUA/WATER, GLYCERIN, MYRISTIC ACID, PAMITIC ACID, STEARIC ACID, GLYCERYL STEARATE, KAOLIN, BENZYL SALICYLATE, CITRUS MEDICA EXTRACT, LIMONENE, LINALOOL. METHYLISOTHIAZOLINONE, PEG-14M, TETRASODIUM EDTA, PARFUM/ FRAGRANCE (B45631/1)
Daytime Morning Regimen
STEP 1: REMOVE MAKEUP & IMPURITIES with the Garnier Vitamin C Micellar Water. Saturate a cotton pad with micellar water and gently wipe your face to remove dirt and excess oil.
STEP 2: CLEANSE your face with the Garnier Vitamin C Brightening Cleanser Foam OR Gel Cleanser Wash. Wet your face with water, apply a small amount of the cleanser, and massage in circular motions. Rinse thoroughly.
STEP 3: TREAT with the Garnier Vitamin C Booster Serum. Apply 3-4 drops of the serum all over your face in upward motion. Let it absorb fully before moving on to the next steps. This will help to fade dark spots in 3 days!
STEP 4: ENHANCE your skin with the Garnier Vitamin C Ampoule Serum. Apply a small amount of the ampoule serum on problem areas, or all over your face to fade hyperpigmentation, sunspots (pekas), melasma, and dark undereye circles.
STEP 5: MOISTURIZE with the Garnier Vitamin C Day Cream Moisturizer. Massage in upward circular motion all over your face, to lock in moisture and create a protective barrier on your skin.
STEP 6: PROTECT your skin from harmful UV rays with the Garnier Vitamin C UV Sunscreen. Apply a thin layer of sunscreen evenly on your face, at least 15 minutes before sun exposure. Reapply throughout the day for maximum sun protection.
Nighttime Evening Regimen
STEP 1: REMOVE MAKEUP & IMPURITIES with the Garnier Vitamin C Micellar Water. Saturate a cotton pad with micellar water and gently wipe your face to remove dirt and excess oil.
STEP 2: CLEANSE your face with the Garnier Vitamin C Brightening Cleanser Foam OR Gel Cleanser Wash. Wet your face with water, apply a small amount of the cleanser, and massage in circular motions. Rinse thoroughly.
STEP 3: TREAT with the Garnier 10% Pure Vitamin C Overnight Booster Serum. Apply 3-4 drops of the serum all over your face in upward motion to support overnight skin repair and recovery. all over your face in upward motion. Let it absorb fully before moving on to the next steps.
STEP 4: ENHANCE your skin with the Garnier Vitamin C Ampoule Serum. Apply a small amount of the ampoule serum on problem areas, or all over your face to fade hyperpigmentation, sunspots (pekas), melasma, and dark undereye circles.
STEP 5: REJUVENATE and nourish your skin with the Garnier Vitamin C Night Cream Moisturizer. Apply the night cream to lock in moisture for optimum repair and recovery especially during at night",Effectiveness: very effective | Texture: smooth | Fragrance: it has a smell of lemon,ph-11134103-7r98o-ltytiala8mfd2f.jpg,2
prod_09,Jeep EW011 TWS True Wireless Bluetooth Earphones HiFi Sound Noise Cancellation HD Calls Earbuds,"Specification:
Brand: Jeep
Model: JP EW011
Wireless version: V5.3
Speaker size: Φ13mm
Sensitivity:118±3dB
Impedance: 250
Frequency response:50HZ-20KHZ
Cell voltage: 3.7V
Music playing time:About 4H (80% volume)
Standby time:About 50H
Charging time:About 2H
Headphone battery capacity: 30mAh/3.7V
Charging compartment battery capacity: 300mAh/3.7V
Product size:61.5x25x45.5mm
What's in the box
2 x Bluetooth Earphones
1 x Charging Case
1 x Charging Cable
1 x User Manual",Comfort: It is okay to be honest | Sound Quality: sound is good for only 2 days. | Design: good | I regret that I buy this product. I only used it for 2 days then the left earpads does not work. If you remove it to the storage it will immediately turn off. as you can see in the video it is both fully charge but the other one not functioning. Not recommended to buy waste of money. BTW this is my first time giving bad review.,ph-11134103-7rasi-mahyk0sfq7qm34.jpg,0
prod_15,Infinitee Japanese Inspired Oversized T Shirt For Men Women Oversize Plus Size Tshirt Top Tops Tees,"Premium Quality Cotton T-Shirt
✔ 100% Brand New
✔ Material: Cotton-blend
✔ Fit: Loose Fit
✔ Style: Casual
✔ Fabric Density: 200 gsm
✔ Comfortable and Long-Wearing
✔ Asian Size
📏 Please refer to the Size Chart for accurate measurements.
🧺 Care Instructions:
• Do not bleach
• Do not dry clean
⚠️ Note: Color may appear slightly lighter or darker due to lighting.",Colour: good | Material Quality: very nice | Appearance: maganda Makapal ang tela | Quality sya guys tapos Mura pa bilhin nyo na agad sakto din fittings nya yun lang bilihin mo na kase,ph-11134103-7qul1-ljvyghl33nn07f.jpg;ph-11134103-7quky-ljvyghl3527gf8.jpg;ph-11134103-7qul9-ljvyghl36grw09.jpg;ph-11134103-7qukw-ljvyghl37vcc90.jpg,2
prod_13,High quality rubber shoes Black school shoes for boy and men's,"No in box
Welcome to the shop, our quality guarantee is cheap
EU  size                   36     37       38    39      40    41    42    43    44    45 
inner length (mm) 225  230   235   240   245   250  255  260  265  270
feet length (mm)  220  225  230  235   240   245    250   255   260  265
       width              8-8.5 /8.5/ 9/ 9-9.5 /9.5-10/10 /10-10.5/10.5/10.5-11/11
 NOTE: If your feet are wide and fat, please choose to place an order in one size larger
This shoe is made of rubber material and may be squeezed or deformed during transportation, but it does not affect wearing. You can soak the shoes in hot water for 5 minutes to restore them to their original shape.
happy shopping for you
✅EARN LOTS OF SHOPEE COINS
✅CASH ON DELIVERY
✅ON HAND AND READY TO SHIP
✅PAY TODAY SHIP TOMORROW
NOTE: WRONG PLACEMENT OF SHIPPING FEE WILL NOT BE PROCESS
DELIVERY PERIOD:
 1-2 days Metro Manila
 3-4 days Provincial
PLEASE READ CAREFULLY BEFORE PLACING AN ORDER/S ️
 ✔️ALL ITEMS ARE AVAILABLE UNLESS MARKED AS ""SOLD OUT""
✔CHOOSE THE CORRECT  IF THE ITEMS HAS DIFFERENT COLORS/PRINTS SO WE CAN AVOID MISTAKES
✔WE ACCEPT RETURNS IF THE ITEM IS NOT YET WORN OR USED. BUYER WILL SHOULDER THE RETURN SHIPPING COST
LIKE & FOLLOW US FOR UPDATES! 
HAPPY SHOPPING!","Material Quality: maganda naman | Colour: true to color | Ayaw ng anak ko kasi matilos para dw syang dwende dpt kung ano ung sa picture un dpt ibigay,anlau eh maganda sana kaso hinde parihas nong nasa picture.",ph-11134103-7r98z-ly26acygfc698b.jpg;ph-11134103-7r98t-ly26acxwg550a3.jpg,1
prod_02,Luxe Organix Whitening Repair Ultra Light Glow Cleanser 150ml,"Evens out skin tone, lighten scars and dark spots, brighten skin
LUXE ORGANIX WHITENING REPAIR GENTLE FOAM CLEANSER IS MADE WITH NIACINAMIDE AND LICORICE ROOT EXTRACT TO REDUCE APPEARANCE OF HYPERPGMENTATION. ENLARGED PORES AND EXCESS OIL. IT LIGHTENS SKIN AND EVENS OUT SKIN TONE LEAVING YOU WITH A FRESH AND NATURAL GLOW.
HOW TO USE: SQUEEZE A PEA SIZED AMOUNT ONTO HANDS, GENTLY MASSAGE INTO DAMP FACE IN CIRCULAR MOTIONS, AVOIDING THE EYE AREA. RINSE THROUGHLY WITH WATER.CAUTION: FOR EXTERNAL USE ONLY. AVOID CONTACT WITH EYES. CONDUCT A SKIN TEST FIRST. STOP USING AND CONSULT A DOCTOR IF SKIN BECOMES RED, SWOLLEN AND ITCHYDURING USE. KEEP OUT OF REACH OF CHILDREN. STORE AT ROOM TEMPERATURE.
INGREDIENTS: WATER, MYRISTIC ACID, GLYCERIN, POTASSIUM HYDROXIDE, PALMITIC ACID, STEARID ACID, LAURAMIDE DEA, SODIUM LAURETH SULFATE, COCAMIDOPROPYL BETAINE, GLYCERYL STEARATE, BENZYL GLYCOL, PEG-100 STEARATE, NIACINAMIDE, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT, SODIUM CHLORIDE, BUTYLENE GLYCOL, 1,2- HEXANEDIOL, GLYCOL DISTEARATE, RASPBERRY KETONE, CARBOMER, DISODIUM EDTA, LAURIC ACID, ETHYLHEXYLGLYCERIN, CITRIC ACID, SODIUM CARBONATE, FRAGRANCE.",Fragrance: mild | Texture: smooth | Effectiveness: perf | Sobrang hiyang ako sa Luxe Organix talaga. Highly recommended sa mommy ko and friends. Worth the price lahat. Will order ulit soon. Thank you,ph-11134103-7r98w-lrel8cy37uut51.jpg;ph-11134103-7r98p-lrel8cy37uboc0.jpg;ph-11134103-7r98z-lrel8cy3nakk6d.jpg,2
prod_11,ICON Webcam 2K/ 1080P/ 720P Full HD Video Call For PC Laptop With Microphone Home USB Video Webcam,"Name: ICON 1080X1920P Webcam 2K
8 million high-definition image sensor, effective resolution 1920*1080
Main control chip: Lingtong GP2247
Camera chip: F37
Camera physical pixels: 800W
Camera angle: 90 degrees
Microphone: built-in noise reduction microphone
Drive type: free drive (plug and play)
Interface type: USB 2.0 (built-in mark)
USB cable length: 140cm
Camera chip size: 1/4'' CMOS
---------------------------------------------------------------------------------------------------------------------------------------------------------
Name: ICON webcam 720P
5 million high-definition image sensor, effective resolution 1280*720
Main control chip: Lingtong GP2247
Camera chip: F37
Camera physical pixels: 500W
Camera angle: 90 degrees
Microphone: built-in noise reduction microphone
Drive type: free drive (plug and play)
Interface type: USB 2.0 (built-in mark)
USB cable length: 140cm
Camera chip size: 1/4'' CMOS
---------------------------------------------------------------------------------------------------------------------------------------------------------
Name: ICON webcam 1080P
5 million high-definition image sensor, effective resolution 1920X1080
Main control chip: Lingtong GP2247
Camera chip: F37
Camera physical pixels: 800W
Camera angle: 90 degrees
Microphone: built-in noise reduction microphone
Drive type: free drive (plug and play)
Interface type: USB 2.0 (built-in mark)
USB cable length: 140cm
Camera chip size: 1/4'' CMOS
warranty service
Replacement within 15 days: Within 15 days after the receipt of the product, if there is a product quality problem that is not artificially damaged, you can contact customer service and we will provide replacement services.
1 year warranty: From the date of receipt of the product, if there is a hardware failure problem under normal use, non-artificial damage, any natural disasters. Free warranty for one year.
Lifetime technical maintenance: After purchasing the product, you can enjoy free lifetime technical consulting services provided by engineers
About shipping: If there is a quality problem within 1 month of purchasing the product, the shipping will be borne by each other.
After one month to one year, the return shipping fee shall be borne by the customer.","I'm honestly disappointed with the packaging. It seemed like no care was taken at all—the box arrived distorted and had no protective materials whatsoever. Fortunately, the item still works. Maybe next time, please consider taking a bit more care with the product. A little effort in packaging can go a long way.",ph-11134103-7ra0r-mcrbj2uuid7y53.jpg,0
prod_08,Inplay S500 Wired RGB Gaming Headset With Mic Surround Sound Over Ear Headphone For PC Laptop,"Inplay Official Service Center Guranteed
Variation
Brand: Inplay
Model: S500
Driver Diameter: 50mm
Impedance: 32Ω@1KHZ
Sensitivity: 115-121db at 1KHZ 1mV
Frequency Response: 20hz-20khz
Light Effect: Colorful led light
Cable Length: 1.8m
Product Size:190*170*90mm
Product Weight: 228-248g
Warranty: 6 Months
Microphone Parameters
Sensitivity: -38-42dB@1KHz
Input mode: DC 3.5 plug
Signal to Noise Ratio: ≥60db
Frequency Response: 100Hz-8KHz","Performance: Great | Product Quality: Great | It somehow works. The mic also works (the sole reason why I bought a new headphone). Though it had difficulty plugging the usb for the rgb lights. The product wasn't bubble wrapped, I was lucky that they delivered it gently. I hope that this headphone will last longer than my old one. Thank you.",ph-11134103-7r98w-lmscxl00ohypfd.jpg;ph-11134103-7r98o-lmscxkz6pptd56.jpg;ph-11134103-7r98x-lmscxl00oi3307.jpg,2
